external_code,name,cost_price,sale_price,markup_percent,category,brand,min_stock,max_stock,is_active,id
PERF 001,1 Million 200ml,0,0,0,Amadeirado Especiado,Paco Rabanne,0,10,TRUE,3fa0c929-f016-4beb-8757-568fe92fa102
PERF 002,9PM Rebel,0,0,0,,,0,10,TRUE,78b105d9-39d7-4c43-8e67-7d498e9ef5ae
PERF 003,9PM_,0,0,0,,,0,10,TRUE,6edbdf69-8779-451a-9835-05bcf22d13d6
PERF 004,Afeef,0,0,0,,,0,10,TRUE,4bd7908e-af31-4714-80e9-7faf7399dc7a
PERF 005,Amber Rouge,0,0,0,,,0,10,TRUE,5b049cd9-31de-4e1e-9e18-aacbe148d668
PERF 006,Angel,0,0,0,Oriental Baunilha,Mugler,0,10,TRUE,f02d281a-be29-48cc-afdb-6314f652cb8f
PERF 007,Art of Universe,0,0,0,,,0,10,TRUE,904e0c3b-51d0-4e8a-b9bd-41dcc22ca4b0
PERF 008,Asad  Bourbon EDP 100ml,540,540,0,Amadeirado,Lataffa,0,10,TRUE,445c2dfc-cd1f-46ed-8fa9-4127bb6d142e
PERF 009,Asad Elixir EDP 100ml,516,516,0,Amadeirado,Lataffa,1,10,TRUE,60ff18ec-fc7d-4265-a5aa-2f91242b5d50
PERF 010,Asad Zanziba,0,0,0,Oriental Especiado,Lattafa,0,10,TRUE,2104429d-3780-4e3c-a45b-ecd5bc7b43b8
PERF 011,Assad,0,0,0,Perfume de Bolso,Lattafa,0,10,TRUE,ccf67361-82f1-4b59-aaa5-863d32f53c4c
PERF 012,Assad,0,0,0,Perfume para Cabelo,Lattafa,0,10,TRUE,b88942c1-570b-4c66-a1aa-a059d4ae5a2c
PERF 013,Assad Bourbon,0,0,0,Perfume de Bolso,Lataffa,0,10,TRUE,05ad5b05-78ea-42b9-95f0-a0d42ace43ba
PERF 014,Atheeri,0,0,0,,,0,10,TRUE,d9eb1fac-49c0-417d-aefa-8bbde7b79abb
PERF 015,Attar Al Wesal,0,0,0,,,0,10,TRUE,da9a6d6c-90d8-4dc7-ab3f-420cf101dd0e
PERF 016,Azure Fantasy,0,0,0,,,0,10,TRUE,5d29896c-aea9-45e4-a9b0-91cc65e6390a
PERF 017,Bacara,0,0,0,Perfume para Cabelo,,0,10,TRUE,c9a12d65-a71c-49a7-a6d0-4f9921fcab4c
PERF 018,Bade'e al oud,0,0,0,Oriental Amadeirado,Lattafa,0,10,TRUE,1451df10-bf22-4bd9-acd6-d37437b28585
PERF 019,Classic Stone,0,0,0,,,0,10,TRUE,b2425ce8-c727-4b47-abea-f74ea2140d18
PERF 020,Club de Nuit Intensse,0,0,0,,,0,10,TRUE,f039a71b-4c2e-47d4-985e-70185348ea72
PERF 021,Club de Nuit Sillage,0,0,0,,,0,10,TRUE,722df747-d648-42d8-9f63-450df1fe89a4
PERF 022,Club de Nuit Urban Elixir,0,0,0,,,0,10,TRUE,b53b0230-bb28-4393-a61f-08be4aafe866
PERF 023,Cluib de Nuit Intense Man,0,0,0,Perfume de Bolso,Armaf,0,10,TRUE,480f9226-e564-4d79-898a-af8577cd15f4
PERF 024,Creed Aventus Eau de Parfum 100ml,0,0,0,,,0,10,TRUE,e5e7cbcb-2f2d-45e7-93d0-63a338cd2e6d
PERF 025,Dream of Haze,0,0,0,,,0,10,TRUE,46a97c30-d6bf-410f-b7c4-2ab05ca5c473
PERF 026,Eternal Touch,0,0,0,Amadeirado Aromático,Maison Alhambra,0,10,TRUE,50280453-93ab-4e81-a685-1ccaf6fcbb4f
PERF 027,Fakhar Black Árabe Lattafa 100Ml Original,0,0,0,,,0,10,TRUE,e7ac7305-b564-4c0e-ab31-dd96d41fb130
PERF 028,Força do Leão,0,0,0,Amadeirado,,0,10,TRUE,4cc298c1-0a4f-4012-bbed-64ee0808894b
PERF 029,Fusion Intense,0,0,0,Amadeirado Especiado,Maison Alhambra,0,10,TRUE,77916ce3-e4c3-463d-8c57-222e6ff02029
PERF 030,Ghost,0,0,0,,,0,10,TRUE,a8c86da9-cd5c-4a04-9809-592e1608b1fd
PERF 031,Hawas Elixir,0,0,0,,,0,10,TRUE,02583c46-e9ec-41e4-a6ce-2e0d023009e5
PERF 032,Jubilant Noir,0,0,0,Oriental Floral,Maison Alhambra,0,10,TRUE,bbe3dce8-0ac5-46eb-bb8b-ee1c300b8bac
PERF 033,Jubilant Oro,0,0,0,Aromático Fougère,Maison Alhambra,0,10,TRUE,e04f61fd-d223-400b-96a8-dae5ac842783
PERF 034,Khamrah,0,0,0,Oriental Baunilha,Lattafa,0,10,TRUE,bd5baaac-0289-4441-bcfc-9c72083dfd0a
PERF 035,Khamrah Dukhan,0,0,0,,Lattafa,0,10,TRUE,27bdd07b-3718-4cda-8239-c4c8df41a63d
PERF 036,Khamrah Quarah EDP 100ml,560,560,0,Amadeirado Especiado,Lattafa,0,10,TRUE,d484af47-4dc6-4962-95d5-7bc1342bfc03
